location,site_name,latitude,longitude,number,maxclim,maxthresh,summer_temp,max_inten,accum_inten
Batemans,Acron Ledge,-35.7203,150.24788999999998,2.715,22.38602066040039,23.581364941340627,22.018476,2.29397964477539,105.24024
Batemans,Belowla Island South West,-35.55425,150.38896,5.52,22.38602066040039,23.581364941340627,22.018476,2.29397964477539,105.24024
Batemans,Bingi Bingi Point,-36.01291,150.16603,2.16,22.22428131103516,23.370053043160397,21.829535,2.6457176208496094,106.3146
Batemans,Bingi Bingi Point Nth,-36.011520000000004,150.16517,2.03,22.22428131103516,23.370053043160397,21.829535,2.6457176208496094,106.3146
Batemans,Bogola North,-36.26173,150.15152,4.395,22.200952529907227,23.3422145699942,21.776093,2.6490478515625,101.42088
Batemans,Broulee Is South,-35.862140000000004,150.18729,4.535,22.44567108154297,23.643246802463327,22.236423,2.814329147338867,126.96359
Batemans,Broulee Island,-35.86079,150.18594,3.0949999999999998,22.44567108154297,23.643246802463327,22.236423,2.814329147338867,126.96359
Batemans,Broulee North,-35.85507,150.19207,6.983333333333333,22.44567108154297,23.643246802463327,22.236423,2.814329147338867,126.96359
Batemans,Brush Island East,-35.530187,150.424206,12.365,22.38602066040039,23.581364941340627,22.018476,2.29397964477539,105.24024
Batemans,Brush Island Mid North,-35.52617,150.41713,5.715,22.38602066040039,23.581364941340627,22.018476,2.29397964477539,105.24024
Batemans,Brush Island Mid South,-35.53148,150.41545,6.54,22.38602066040039,23.581364941340627,22.018476,2.29397964477539,105.24024
Batemans,Brush Island South,-35.53337,150.41589,3.3066666666666666,22.38602066040039,23.581364941340627,22.018476,2.29397964477539,105.24024
Batemans,Brush Island South West,-35.532920000000004,150.41296,2.99,22.38602066040039,23.581364941340627,22.018476,2.29397964477539,105.24024
Batemans,Burrewarra Point,-35.83132,150.23346999999998,4.15,22.44567108154297,23.643246802463327,22.236423,2.814329147338867,126.96359
Batemans,Burrewarra Pt S,-35.83455,150.22347,3.7800000000000002,22.44567108154297,23.643246802463327,22.236423,2.814329147338867,126.96359
Batemans,Dalmeny point N of ramp,-36.16112,150.13343,2.575,22.22428131103516,23.370053043160397,21.829535,2.6457176208496094,106.3146
Batemans,Dalmeny point S of ramp off Joshs Beach,-36.16932,150.13612,6.275,22.22428131103516,23.370053043160397,21.829535,2.6457176208496094,106.3146
Batemans,Flat Rock South,-35.68546,150.30408,4.484999999999999,22.38602066040039,23.581364941340627,22.018476,2.29397964477539,105.24024
Batemans,Garden Point,-35.78389,150.23465,4.74,22.44567108154297,23.643246802463327,22.236423,2.814329147338867,126.96359
Batemans,Honeysuckle Bay,-35.71223,150.27862,5.9875,22.38602066040039,23.581364941340627,22.018476,2.29397964477539,105.24024
Batemans,Jimmies Is S,-35.81929,150.23638,6.49,22.44567108154297,23.643246802463327,22.236423,2.814329147338867,126.96359
Batemans,Jimmies Island,-35.816720000000004,150.2343,5.255,22.44567108154297,23.643246802463327,22.236423,2.814329147338867,126.96359
Batemans,Kiola Gulch,-35.605940000000004,150.33823,2.7199999999999998,22.38602066040039,23.581364941340627,22.018476,2.29397964477539,105.24024
Batemans,Kiola Point,-35.56335,150.387586,6.33,22.38602066040039,23.581364941340627,22.018476,2.29397964477539,105.24024
Batemans,Lilly Pilly North,-35.77133,150.23296000000002,4.46,22.44567108154297,23.643246802463327,22.236423,2.814329147338867,126.96359
Batemans,M2 Heaven,-35.90916,150.16253,6.905,22.44567108154297,23.643246802463327,22.236423,2.814329147338867,126.96359
Batemans,Montague Is East,-36.2485,150.22827,7.658333333333332,22.22428131103516,23.370053043160397,21.829535,2.6457176208496094,106.3146
Batemans,Montague Island North,-36.24802,150.22517,4.645,22.22428131103516,23.370053043160397,21.829535,2.6457176208496094,106.3146
Batemans,Montague Island North West Inner,-36.24267,150.22491000000002,9.314999999999998,22.22428131103516,23.370053043160397,21.829535,2.6457176208496094,106.3146
Batemans,Montague Island South West,-36.25803,150.22185,11.375,22.200952529907227,23.3422145699942,21.776093,2.6490478515625,101.42088
Batemans,Montague Island mid inner,-36.25163,150.22206,10.415,22.200952529907227,23.3422145699942,21.776093,2.6490478515625,101.42088
Batemans,Moruya South Head E,-35.9072,150.16286000000002,3.0149999999999997,22.44567108154297,23.643246802463327,22.236423,2.814329147338867,126.96359
Batemans,Mullimburra Point,-35.99157,150.15918,5.24,22.22428131103516,23.370053043160397,21.829535,2.6457176208496094,106.3146
Batemans,North Head,-35.72235,150.27454,4.1,22.38602066040039,23.581364941340627,22.018476,2.29397964477539,105.24024
Batemans,Pretty Point,-35.80453,150.23346999999998,4.525,22.44567108154297,23.643246802463327,22.236423,2.814329147338867,126.96359
Batemans,Pretty Point North,-35.80019,150.2369,4.615,22.44567108154297,23.643246802463327,22.236423,2.814329147338867,126.96359
Batemans,Richmond Point,-35.69019,150.29786,4.42,22.38602066040039,23.581364941340627,22.018476,2.29397964477539,105.24024
Batemans,Shark Gutter NE Tollgates,-35.75012,150.26203999999998,5.07,22.44567108154297,23.643246802463327,22.236423,2.814329147338867,126.96359
Batemans,Tollgates Outer Mid Bay,-35.75073,150.25915,5.08,22.44567108154297,23.643246802463327,22.236423,2.814329147338867,126.96359
Batemans,Wasp Island,-35.66796,150.31036,5.775,22.38602066040039,23.581364941340627,22.018476,2.29397964477539,105.24024
Batemans,West Longnose Point,-35.83457,150.20885,3.9225000000000003,22.44567108154297,23.643246802463327,22.236423,2.814329147338867,126.96359
Batemans,Yellow Rock,-35.72811,150.2645,4.609999999999999,22.38602066040039,23.581364941340627,22.018476,2.29397964477539,105.24024
Bicheno,"Blow Hole, Bicheno",-41.88012,148.30983999999998,2.0508333333333333,18.262422561645508,19.5838921782791,17.487947,0.9075775146484376,19.158234
Bicheno,Halfway Point,-41.903290000000005,148.31631000000002,2.04,18.262422561645508,19.5838921782791,17.487947,0.9075775146484376,19.158234
Bicheno,North Governor Isle,-41.86954,148.31363000000002,2.2808333333333333,18.262422561645508,19.5838921782791,17.487947,0.9075775146484376,19.158234
Bicheno,South East Governor Isle,-41.87447,148.31433,2.245,18.262422561645508,19.5838921782791,17.487947,0.9075775146484376,19.158234
Bicheno,Waubs Bay,-41.86864,148.30344,2.233888888888889,18.262422561645508,19.5838921782791,17.487947,0.9075775146484376,19.158234
Jervis Bay,Bowen Island NW,-35.11272,150.7672,4.1560802469135805,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Bowens Island SW,-35.12113,150.76416,4.942500000000001,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Bristol Pt,-35.13438,150.72665,3.037240740740741,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Callala,-35.00885,150.73106,2.03,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Callala Reef West,-35.01242,150.71651,2.1999999999999997,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Captains Pt,-35.12097,150.70789,2.7969897959183676,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Dart Point East (Grouper Coast South),-35.074690000000004,150.77344,2.922142857142857,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Drum and Drumstick,-35.0478,150.83995,6.63,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Drum and Drumstick North (Gumgetters),-35.04068,150.83386000000002,4.365,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,GREEN POINT (GREEN ISLAND),-35.0162,150.76486,2.8775,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Greenfield Beach Nth,-35.09058,150.69409,2.6775,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Hole in the Wall,-35.13301,150.74768,2.506666666666667,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Honeymoon Bay 150 m North (Bindajine Point),-35.05592,150.77559,3.466666666666667,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Honeymoon Bay 1km Sth,-35.0661,150.77299,2.433333333333333,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Honeymoon Bay 300m South,-35.05942,150.77499,3.490555555555556,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Hyams Beach (Chinamans Reef),-35.09912,150.69589,2.8925,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Longnose Point North,-35.078790000000005,150.77982,3.51125,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Longnose Point South,-35.08182,150.77778999999998,4.279999999999999,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Montagu Point,-35.02708,150.77568,3.1550000000000002,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Murrays Reef,-35.12393,150.75235,3.5841666666666665,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Outer Tubes,-35.08773,150.79898,3.9441388888888893,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Plantation Point North,-35.07022,150.69838,2.579125,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Plantation Point South,-35.07227,150.69913,3.40875,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Scottish Rocks,-35.134879999999995,150.74251,2.6375,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,Tapalla Point (Husky Reef),-35.0355,150.67966,2.36,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,The Docks 1 The Gulch,-35.08142,150.79731999999998,4.866006802721088,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,The Docks 2 Inner Tubes,-35.07993,150.793,4.443357142857143,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Jervis Bay,The Docks 3 North Black Boat Cove,-35.07768,150.79224,4.299930555555556,23.0529727935791,24.518795031885958,22.901192,2.567026138305664,112.36321
Kent Group,Curtis Island (South West),-39.48049,146.6454,2.02,18.45405578613281,19.608676904247652,17.599005,0.7259445190429688,12.672089
Kent Group,Curtis Island (mid South East),-39.473,146.64893,2.02,18.45405578613281,19.608676904247652,17.599005,0.7259445190429688,12.672089
Kent Group,"Deal Island (Garden Cove, mid East Shore)",-39.453990000000005,147.32967,2.205,18.49588394165039,19.6730961768858,17.5198,0.5641155242919922,4.938198
Kent Group,Deal Island (Jetty Bay),-39.46937,147.31013000000002,2.45875,18.49588394165039,19.6730961768858,17.5198,0.5641155242919922,4.938198
Kent Group,Deal Island (Murray Pass),-39.46125,147.31422,2.27,18.49588394165039,19.6730961768858,17.5198,0.5641155242919922,4.938198
Kent Group,Deal Island North East,-39.45989,147.34656,2.17,18.49588394165039,19.6730961768858,17.5198,0.5641155242919922,4.938198
Kent Group,Dover Island (West Coast),-39.4653,147.28708,2.11625,18.49588394165039,19.6730961768858,17.5198,0.5641155242919922,4.938198
Kent Group,Dover Island Isthmus,-39.46457,147.29466000000002,2.5183333333333335,18.49588394165039,19.6730961768858,17.5198,0.5641155242919922,4.938198
Kent Group,East Island,-39.213840000000005,147.02143999999998,2.02,18.54942512512207,19.761838260773693,17.610859,0.6605739593505859,5.8620567
Kent Group,Erith Island North,-39.44366,147.28526000000002,2.185,18.49588394165039,19.6730961768858,17.5198,0.5641155242919922,4.938198
Kent Group,Erith Island North East,-39.44067,147.2971,2.0777777777777775,18.49588394165039,19.6730961768858,17.5198,0.5641155242919922,4.938198
Kent Group,Erith Island North West,-39.44352,147.27727,2.033333333333333,18.49588394165039,19.6730961768858,17.5198,0.5641155242919922,4.938198
Kent Group,"Erith Island, Murray Passage",-39.449,147.30203,2.452857142857143,18.49588394165039,19.6730961768858,17.5198,0.5641155242919922,4.938198
Kent Group,"Erith Island, Murray Passage, Eastern side of Bay opposite site 12 on Western Shore of Bay)",-39.44478,147.30122,3.11375,18.49588394165039,19.6730961768858,17.5198,0.5641155242919922,4.938198
